"Time","VI","VTI","FB","PETO2","PETCO2"
2160.62625,-21.77511406,-1.856347322,13.54401779,47.72986221,42.52148056
2165.67625,-28.52517509,-1.832738757,11.88118839,47.52307892,43.01481247
2170.40125,-26.6444149,-2.246357441,12.6984129,47.72986221,42.8217659
2174.55375,-24.02929878,-1.844015479,14.4491272,47.31629562,42.75741959
2178.83625,-21.44843483,-1.715091228,14.01050758,47.93664169,42.69307327
2183.45375,-27.0085907,-1.650635839,12.9940443,46.90273666,43.12206268
2188.36375,-36.83367538,-2.210202932,12.21995926,47.31629562,43.0362587
2193.42375,-29.07827377,-3.106306553,11.85770798,49.59090424,42.28553391
2198.14125,-26.67615509,-2.286279202,12.71860123,48.97055435,42.8217659
2202.52125,-31.54666138,-1.947359324,13.69863033,47.31629562,43.42234421
2207.28625,-33.44411087,-2.505330801,12.59181499,47.10951614,43.27220535
2211.74125,NA,-2.483225107,13.46801376,46.90273666,43.20785141
2213.09625,-28.29336548,NA,NA,46.69594955,43.20785141
2218.62375,-26.50190353,-2.606526136,10.85481739,45.6620369,43.37944794
2223.53125,-37.05066681,-2.167634726,12.22618484,44.83491135,43.65829086
2229.60875,-29.65711403,NA,9.872480392,47.10951614,42.62872696
2234.94125,-29.56179619,-2.635776043,11.25175762,46.69594955,42.80031967
2240.01875,-26.45907974,-2.501667023,11.81683922,46.07560349,43.48669815
2244.28625,-23.17469597,-1.881901979,14.05975437,45.86881638,43.8298912
2248.91125,-21.21386337,-1.786382794,12.97297287,45.45524979,43.98003006
2254.01875,-33.24399567,-1.805830121,11.74742985,44.62812424,43.85133743
2259.10625,-31.27258682,-2.818813801,11.79361153,46.90273666,42.65017319
2264.09875,-34.90498352,-2.602139711,12.01802731,49.38411713,41.94235229
2268.91625,-29.06805611,-2.802579403,12.4545927,50.62481689,41.85655212
2273.71875,-28.90575027,-2.326655626,12.49349308,49.59090424,42.90756607
2277.62125,-24.48167419,-1.880078197,15.37475967,48.35020828,43.65829086
2281.97125,-24.73612976,-1.774921417,13.79310322,47.72986221,43.72263718
2285.72875,-24.32847404,-1.549100161,15.96806335,47.10951614,43.93712997
2290.68625,-25.63537216,-2.010140181,12.10287476,46.28238297,43.63684464
2295.18875,-27.63607979,-1.923721075,13.32592964,46.28238297,43.05771255
2300.16875,-25.09125519,-2.293794632,12.04819298,46.69594955,42.47858047
2304.90375,-26.67739677,-1.980118155,12.67159462,46.90273666,42.60728073
2309.19875,-23.49959373,-1.909657001,13.96973228,46.48916626,42.80031967
2312.97375,-24.0375042,-1.478516102,15.89404011,46.07560349,42.88611984
2317.88125,-23.37509346,-1.966067433,12.22618484,46.07560349,43.05771255
2322.59375,-24.3189373,-1.835918784,12.73209572,46.48916626,43.44379807
