Time,RRI,SpO2,SBP,DBP,MAP,HR,CO,SV,TPR
3206.32555,0.6753,93.79052134,104.1875,57.40625,74.67531949,88.85019684,7992.852539,90,10.6215
3207.00085,NA,93.7846567,108.25,58.65625,77.79978563,NA,7310.816406,80.9375,10.5813
3207.6659,NA,93.78251715,111.6875,60.03125,80.68844485,NA,7374.339355,81.75,9.9672
3208.3293,0.6919,93.7863808,115.03125,62.25,83.74916362,NA,7906.133789,91.375,NA
3209.0212,0.85575,93.78659436,121.5,64.5,85.20248853,70.11576843,6924.02002,98.78125,NA
3209.87695,0.837,93.79223977,124.96875,63.1875,86.59510163,70.11576843,7602.065918,106.34375,NA
3210.71395,0.9193,93.7897959,120.4375,64.4375,82.89287603,71.68294525,7252.85791,111.21875,9.549
3211.63325,0.91,93.78841003,115.46875,61.25,78.65508362,65.93519592,7785.092285,117.875,9.5435
3212.54325,0.8326,93.79221903,108.96875,59.9375,75.6359363,72.06433868,9432.99707,130.625,10.4167
3213.37585,0.78765,93.79344014,103.71875,58.6875,72.87408736,76.17631531,8848.878906,116.34375,11.2865
3214.1635,0.73235,93.79299515,98.75,56.4375,70.35691887,81.92744446,8536.839844,104.1875,11.4066
3214.89585,0.7054,93.79230313,99.25,55.71875,71.09938554,85.05490875,7942.001953,93.375,11.2234
3215.60125,0.6882,93.78844495,104.46875,57.125,75.39005749,85.05490875,7439.290527,85.3125,11.0793
3216.28945,0.68135,93.79108801,110.65625,60.90625,80.86821214,87.18450928,7062.456055,79.6875,10.6088
3216.9708,0.70675,93.79256279,116.3125,65,86.45624867,84.89967346,7091.669434,83.75,9.9499
3217.67755,0.91335,93.79351084,124,69.71875,89.7636011,65.69213104,6197.313477,94.34375,9.2882
3218.5909,0.9879,93.79367535,NA,69.53125,91.68427988,60.73234558,6155.223145,101.40625,9.3991
3219.5788,1.03005,94.26356123,126.53125,69.28125,88.67693016,60.73234558,6283.21582,108.09375,11.09
3220.60885,0.9474,94.78646163,120,67.40625,84.99495408,58.25006485,7438.113281,117.96875,11.6032
3221.55625,0.84035,94.78725382,112.75,66.15625,81.30070027,71.3968811,9328.449219,130.8125,12.5827
3222.3966,0.7539,94.78849566,101,62.78125,75.9434368,71.3968811,9446.50293,118.375,13.1148
3223.1505,0.7112,94.78472125,107.28125,62.5,78.79525907,84.36602783,8684.427734,103,13.1666
